I, [2014-08-01T09:12:29.668373 #42906]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.2.dev)
E, [2014-08-01T09:12:29.668687 #42906] ERROR -- Kitchen: ------Exception-------
E, [2014-08-01T09:12:29.668715 #42906] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-08-01T09:12:29.668732 #42906] ERROR -- Kitchen: Message: Kitchen YAML file /Users/200019822/Documents/Projects/test-kitchen/.kitchen.yml does not exist.
E, [2014-08-01T09:12:29.668748 #42906] ERROR -- Kitchen: ------Backtrace-------
E, [2014-08-01T09:12:29.668763 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-08-01T09:12:29.668781 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/config.rb:78:in `data'
E, [2014-08-01T09:12:29.668796 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/config.rb:66:in `suites'
E, [2014-08-01T09:12:29.668811 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-08-01T09:12:29.668825 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-08-01T09:12:29.668839 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/config.rb:52:in `instances'
E, [2014-08-01T09:12:29.668853 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2014-08-01T09:12:29.668867 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-08-01T09:12:29.668882 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-08-01T09:12:29.668896 #42906] ERROR -- Kitchen: /System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/benchmark.rb:281:in `measure'
E, [2014-08-01T09:12:29.668913 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/command/action.rb:36:in `call'
E, [2014-08-01T09:12:29.668928 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/cli.rb:47:in `perform'
E, [2014-08-01T09:12:29.668942 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-08-01T09:12:29.668957 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2014-08-01T09:12:29.668971 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2014-08-01T09:12:29.668985 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/cli.rb:243:in `invoke_task'
E, [2014-08-01T09:12:29.668999 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2014-08-01T09:12:29.669013 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2014-08-01T09:12:29.669030 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/bin/kitchen:13:in `block in <top (required)>'
E, [2014-08-01T09:12:29.669045 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-08-01T09:12:29.669059 #42906] ERROR -- Kitchen: /Library/Ruby/Gems/2.0.0/gems/test-kitchen-1.2.2.dev/bin/kitchen:13:in `<top (required)>'
E, [2014-08-01T09:12:29.669073 #42906] ERROR -- Kitchen: /usr/bin/kitchen:23:in `load'
E, [2014-08-01T09:12:29.669087 #42906] ERROR -- Kitchen: /usr/bin/kitchen:23:in `<main>'
E, [2014-08-01T09:12:29.669101 #42906] ERROR -- Kitchen: ----------------------
